"Year","OSHPD ID","Facility Name","County Name","ER Service Level Desc","Type","Count"
2013,106010735,"ALAMEDA HOSPITAL","ALAMEDA","BASIC","ED_Admit",2579
2013,106010735,"ALAMEDA HOSPITAL","ALAMEDA","BASIC","ED_Visit",13538
2014,106010735,"ALAMEDA HOSPITAL","ALAMEDA","BASIC","ED_Admit",2214
2014,106010735,"ALAMEDA HOSPITAL","ALAMEDA","BASIC","ED_Visit",14027
2015,106010735,"ALAMEDA HOSPITAL","ALAMEDA","BASIC","ED_Admit",1907
2015,106010735,"ALAMEDA HOSPITAL","ALAMEDA","BASIC","ED_Visit",15611
2016,106010735,"ALAMEDA HOSPITAL","ALAMEDA","BASIC","ED_Admit",1848
2016,106010735,"ALAMEDA HOSPITAL","ALAMEDA","BASIC","ED_Visit",15111
2017,106010735,"ALAMEDA HOSPITAL","ALAMEDA","BASIC","ED_Admit",1949
2017,106010735,"ALAMEDA HOSPITAL","ALAMEDA","BASIC","ED_Visit",14963
2018,106010735,"ALAMEDA HOSPITAL","ALAMEDA","BASIC","ED_Admit",1984
2018,106010735,"ALAMEDA HOSPITAL","ALAMEDA","BASIC","ED_Visit",15015
2013,106010739,"ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS","ALAMEDA","BASIC","ED_Admit",5933
2013,106010739,"ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS","ALAMEDA","BASIC","ED_Visit",36972
2014,106010739,"ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS","ALAMEDA","BASIC","ED_Admit",5349
2014,106010739,"ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS","ALAMEDA","BASIC","ED_Visit",39844
2015,106010739,"ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS","ALAMEDA","BASIC","ED_Admit",5890
2015,106010739,"ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS","ALAMEDA","BASIC","ED_Visit",40430
2016,106010739,"ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS","ALAMEDA","BASIC","ED_Admit",5930
2016,106010739,"ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS","ALAMEDA","BASIC","ED_Visit",39406
2017,106010739,"ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS","ALAMEDA","BASIC","ED_Admit",5687
